,name,label
0,Ayam Cabe Ijo,3
1,Ayam Cabe Ijo,3
2,Ayam Cabe Ijo,3
3,Ayam Cabe Ijo,3
4,Ayam Cabe Ijo,3
5,Ayam Cabe Ijo,3
6,Ayam Cabe Ijo,3
7,Ayam Cabe Ijo,3
8,Ayam Cabe Ijo,3
9,Ayam Cabe Ijo,3
10,Ayam Cabe Ijo,3
11,Ayam Cabe Ijo,3
12,Ayam Cabe Ijo,3
13,Ayam Cabe Ijo,3
14,Ayam Cabe Ijo,3
15,Ayam Cabe Ijo,3
16,Ayam Cabe Ijo,3
17,Ayam Cabe Ijo,3
18,Ayam Cabe Ijo,3
19,Ayam Cabe Ijo,3
20,Ayam Cabe Ijo,3
21,Ayam Cabe Ijo,3
22,Ayam Cabe Ijo,3
23,Ayam Cabe Ijo,3
24,Ayam Cabe Ijo,3
25,Ayam Cabe Ijo,3
26,Ayam Cabe Ijo,3
27,Ayam Cabe Ijo,3
28,Ayam Cabe Ijo,3
29,Ayam Cabe Ijo,3
30,Ayam Cabe Ijo,3
31,Ayam Cabe Ijo,3
32,Ayam Cabe Ijo,3
33,Ayam Cabe Ijo,3
34,Ayam Cabe Ijo,3
35,Ayam Cabe Ijo,3
36,Ayam Cabe Ijo,3
37,Ayam Cabe Ijo,3
38,Ayam Cabe Ijo,3
39,Ayam Cabe Ijo,3
40,Ayam Cabe Ijo,3
41,Ayam Cabe Ijo,3
42,Ayam Cabe Ijo,3
43,Ayam Cabe Ijo,3
44,Ayam Cabe Ijo,3
45,Ayam Cabe Ijo,3
46,Ayam Cabe Ijo,3
47,Ayam Cabe Ijo,3
48,Ayam Cabe Ijo,3
49,Ayam Cabe Ijo,3
50,Ayam Cabe Ijo,3
51,Ayam Cabe Ijo,3
52,Ayam Cabe Ijo,3
53,Ayam Cabe Ijo,3
54,Ayam Cabe Ijo,3
55,Ayam Cabe Ijo,3
56,Ayam Cabe Ijo,3
57,Ayam Cabe Ijo,3
58,Ayam Cabe Ijo,3
59,Ayam Cabe Ijo,3
60,Ayam Cabe Ijo,3
61,Ayam Cabe Ijo,3
62,Ayam Cabe Ijo,3
63,Ayam Cabe Ijo,3
64,Ayam Cabe Ijo,3
