1,"Mentega, asin","15,87",717,"0,85","81,11","2,11","0,06",-,"0,06",24,"0,02",2,24,24,643,"0,09",-,-,"1,0",-,"0,005","0,034","0,042","0,110","0,003",3,19,"0,17",2.499,684,671,-,158,-,-,-,"2,32",-,-,"7,0","51,368","21,021","3,043","215,00"
2,"Mentega, kocok, dengan garam","16,72",718,"0,49","78,30","1,62","2,87",-,"0,06",23,"0,05",1,24,41,583,"0,05","0,010","0,001",-,-,"0,007","0,064","0,022","0,097","0,008",4,19,"0,07",2.468,683,671,1,135,6,-,13,"1,37",-,-,"4,6","45,390","19,874","3,331","225,00"
3,"Minyak mentega, tidak mengandung air","0,24",876,"0,28","99,48",-,-,-,-,4,-,-,3,5,2,"0,01","0,001",-,-,-,"0,001","0,005","0,003","0,010","0,001",-,22,"0,01",3.069,840,824,-,193,-,-,-,"2,80",-,-,"8,6","61,924","28,732","3,694","256,00"
4,"Keju, biru","42,41",353,"21,40","28,74","5,11","2,34",-,"0,50",528,"0,31",23,387,256,1.146,"2,66","0,040","0,009","14,5",-,"0,029","0,382","1,016","1,729","0,166",36,15,"1,22",721,198,192,-,74,-,-,-,"0,25","0,5",21,"2,4","18,669","7,778","0,800","75,00"
5,"Keju, batu bata","41,11",371,"23,24","29,68","3,18","2,79",-,"0,51",674,"0,43",24,451,136,560,"2,60","0,024","0,012","14,5",-,"0,014","0,351","0,118","0,288","0,065",20,15,"1,26",1.08,292,286,-,76,-,-,-,"0,26","0,5",22,"2,5","18,764","8,598","0,784","94,00"
6,"Keju, brie","48,42",334,"20,75","27,68","2,70","0,45",-,"0,45",184,"0,50",20,188,152,629,"2,38","0,019","0,034","14,5",-,"0,070","0,520","0,380","0,690","0,235",65,15,"1,65",592,174,173,-,9,-,-,-,"0,24","0,5",20,"2,3","17,410","8,013","0,826","100,00"
7,"Keju, camembert","51,80",300,"19,80","24,26","3,68","0,46",-,"0,46",388,"0,33",20,347,187,842,"2,38","0,021","0,038","14,5",-,"0,028","0,488","0,630","1,364","0,227",62,15,"1,30",820,241,240,-,12,-,-,-,"0,21","0,4",18,"2,0","15,259","7,023","0,724","72,00"
8,"Keju, jintan","39,28",376,"25,18","29,20","3,28","3,06",-,-,673,"0,64",22,490,93,690,"2,94","0,024","0,021","14,5",-,"0,031","0,450","0,180","0,190","0,074",18,-,"0,27",1.054,271,262,-,-,-,-,-,-,-,-,-,"18,584","8,275","0,830","93,00"
9,"Keju, cheddar","37,02",404,"22,87","33,31","3,71","3,09",-,"0,48",710,"0,14",27,455,76,653,"3,64","0,030","0,027","28,5",-,"0,029","0,428","0,059","0,410","0,066",27,17,"1,10",1.242,330,330,-,85,-,-,-,"0,71","0,6",24,"2,4","18,867","9,246","1,421","99,00"
10,"Keju, Cheshire","37,65",387,"23,37","30,60","3,60","4,78",-,-,643,"0,21",21,464,95,700,"2,79","0,042","0,012","14,5",-,"0,046","0,293","0,080","0,413","0,074",18,-,"0,83",985,233,220,-,-,-,-,-,-,-,-,-,"19,475","8,671","0,870","103,00"
11,"Keju, colby","38,20",394,"23,76","32,11","3,36","2,57",-,"0,52",685,"0,76",26,457,127,604,"3,07","0,042","0,012","14,5",-,"0,015","0,375","0,093","0,210","0,079",18,15,"0,83",994,264,257,-,82,-,-,-,"0,28","0,6",24,"2,7","20,218","9,280","0,953","95,00"
12,"Keju, cottage, krim, dadih besar atau kecil","79,79",98,"11,12","4,30","1,41","3,38",-,"2,67",83,"0,07",8,159,104,364,"0,40","0,029","0,002","9,7",-,"0,027","0,163","0,099","0,557","0,046",12,18,"0,43",140,37,36,-,12,-,-,-,"0,08","0,1",3,-,"1,718","0,778","0,123","17,00"
13,"Keju, cottage, krim, dengan buah","79,64",97,"10,69","3,85","1,20","4,61","0,2","2,38",53,"0,16",7,113,90,344,"0,33","0,040","0,003","7,7","1,4","0,033","0,142","0,150","0,181","0,068",11,18,"0,53",146,38,37,-,14,-,-,-,"0,04",-,-,"0,4","2,311","1,036","0,124","13,00"
14,"Keju, cottage, tanpa lemak, tanpa dadih, dikeringkan, besar atau kecil","81,01",72,"10,34","0,29","1,71","6,66",-,"1,85",86,"0,15",11,190,137,372,"0,47","0,030","0,022","9,4",-,"0,023","0,226","0,144","0,446","0,016",9,18,"0,46",8,2,2,-,-,-,-,-,"0,01",-,-,-,"0,169","0,079","0,003","7,00"
15,"Keju, cottage, lemak rendah, lemak susu 2%","81,24",81,"10,45","2,27","1,27","4,76",-,"4,00",111,"0,13",9,150,125,308,"0,51","0,033","0,015","11,9",-,"0,020","0,251","0,103","0,524","0,057",8,16,"0,47",225,68,68,-,6,-,-,-,"0,08",-,-,-,"1,235","0,516","0,083","12,00"
16,"Keju, cottage, lemak rendah, lemak susu 1%","82,48",72,"12,39","1,02","1,39","2,72",-,"2,72",61,"0,14",5,134,86,406,"0,38","0,028","0,003","9,0",-,"0,021","0,165","0,128","0,215","0,068",12,18,"0,63",41,11,11,-,3,-,-,-,"0,01",-,-,"0,1","0,645","0,291","0,031","4,00"
17,"Keju, krim","52,62",350,"6,15","34,44","1,27","5,52",-,"3,76",97,"0,11",9,107,132,314,"0,50","0,018","0,011","8,6",-,"0,023","0,230","0,091","0,517","0,056",9,27,"0,22",1.111,308,303,1,59,2,-,7,"0,86",-,-,"2,1","20,213","8,907","1,483","101,00"
18,"Keju, edam","41,56",357,"24,99","27,80","4,22","1,43",-,"1,43",731,"0,44",30,536,188,812,"3,75","0,036","0,011","14,5",-,"0,037","0,389","0,082","0,281","0,076",16,15,"1,54",825,243,242,-,11,-,-,-,"0,24","0,5",20,"2,3","17,572","8,125","0,665","89,00"
19,"Keju, feta","55,22",264,"14,21","21,28","5,20","4,09",-,"4,09",493,"0,65",19,337,62,917,"2,88","0,032","0,028","15,0",-,"0,154","0,844","0,991","0,967","0,424",32,15,"1,69",422,125,125,-,3,-,-,-,"0,18","0,4",16,"1,8","14,946","4,623","0,591","89,00"
20,"Keju, fontina","37,92",389,"25,60","31,14","3,79","1,55",-,"1,55",550,"0,23",14,346,64,800,"3,50","0,025","0,014","14,5",-,"0,021","0,204","0,150","0,429","0,083",6,15,"1,68",913,261,258,-,32,-,-,-,"0,27","0,6",23,"2,6","19,196","8,687","1,654","116,00"
21,"Keju, gjetost","13,44",466,"9,65","29,51","4,75","42,65",-,-,400,"0,52",70,444,1.409,600,"1,14","0,080","0,040","14,5",-,"0,315","1,382","0,813","3,351","0,271",5,-,"2,42",1.113,334,334,-,-,-,-,-,-,-,-,-,"19,160","7,879","0,938","94,00"
22,"Keju, gouda","41,46",356,"24,94","27,44","3,94","2,22",-,"2,22",700,"0,24",29,546,121,819,"3,90","0,036","0,011","14,5",-,"0,030","0,334","0,063","0,340","0,080",21,15,"1,54",563,165,164,-,10,-,-,-,"0,24","0,5",20,"2,3","17,614","7,747","0,657","114,00"
23,"Keju, gruyere","33,19",413,"29,81","32,34","4,30","0,36",-,"0,36",1.011,"0,17",36,605,81,714,"3,90","0,032","0,017","14,5",-,"0,060","0,279","0,106","0,562","0,081",10,15,"1,60",948,271,268,-,33,-,-,-,"0,28","0,6",24,"2,7","18,913","10,043","1,733","110,00"
24,"Keju, limburger","48,42",327,"20,05","27,25","3,79","0,49",-,"0,49",497,"0,13",21,393,128,800,"2,10","0,021","0,038","14,5",-,"0,080","0,503","0,158","1,177","0,086",58,15,"1,04",1.155,340,339,-,15,-,-,-,"0,23","0,5",20,"2,3","16,746","8,606","0,495","90,00"
25,"Keju, monterey","41,01",373,"24,48","30,28","3,55","0,68",-,"0,50",746,"0,72",27,444,81,600,"3,00","0,032","0,011","14,5",-,"0,015","0,390","0,093","0,210","0,079",18,15,"0,83",769,198,192,-,78,-,-,-,"0,26","0,6",22,"2,5","19,066","8,751","0,899","89,00"
26,"Keju, mozzarella, susu murni","50,01",300,"22,17","22,35","3,28","2,19",-,"1,03",505,"0,44",20,354,76,627,"2,92","0,011","0,030","17,0",-,"0,030","0,283","0,104","0,141","0,037",7,15,"2,28",676,179,174,-,57,-,-,-,"0,19","0,4",16,"2,3","13,152","6,573","0,765","79,00"
27,"Keju, mozzarella, susu murni, kelembaban rendah","48,38",318,"21,60","24,64","2,91","2,47",-,"1,01",575,"0,20",21,412,75,710,"2,46","0,022","0,009","16,1",-,"0,016","0,270","0,094","0,071","0,062",8,15,"0,73",745,197,192,-,63,-,-,-,"0,21","0,5",18,"2,5","15,561","7,027","0,778","89,00"
28,"Keju, mozzarella, sebagian susu skim","53,78",254,"24,26","15,92","3,27","2,77",-,"1,13",782,"0,22",23,463,84,619,"2,76","0,025","0,010","14,4",-,"0,018","0,303","0,105","0,079","0,070",9,15,"0,82",481,127,124,-,41,-,-,-,"0,14","0,3",12,"1,6","10,114","4,510","0,472","64,00"
29,"Keju, mozzarella, kelembaban rendah, sebagian skim","47,07",295,"23,75","19,78","3,83","5,58",-,"1,90",697,"0,22",27,548,188,666,"3,62","0,033","0,039","27,6",-,"0,024","0,353","0,111","0,429","0,100",27,14,"1,68",829,223,223,-,51,-,-,-,"0,50","0,4",15,"1,3","11,295","5,741","1,019","64,00"
30,"Keju, muenster","41,77",368,"23,41","30,04","3,66","1,12",-,"1,12",717,"0,41",27,468,134,628,"2,81","0,031","0,008","14,5",-,"0,013","0,320","0,103","0,190","0,056",12,15,"1,47",1.012,298,297,-,13,-,-,-,"0,26","0,6",22,"2,5","19,113","8,711","0,661","96,00"
31,"Keju, neufchatel","63,11",253,"9,15","22,78","1,37","3,59",-,"3,19",117,"0,13",10,138,152,334,"0,82","0,027","0,011","3,0",-,"0,022","0,155","0,210","0,575","0,041",14,-,"0,30",841,241,239,-,27,-,-,-,"0,40",-,-,"1,7","12,790","5,784","0,970","74,00"
