8001,28197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mother's, Kue Kelapa Kelapa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,60",500,"5,70","25,10",-,"65,10","3,0","27,80",-,"2,80",21,81,138,430,"0,60",-,-,-,-,"0,330","0,250","2,800",-,"0,060",84,-,-,"Mother's, Kue Kelapa Kelapa",-,-,-,-,-,-,-,-,"0,45",-,-,-,"12,800","4,100","6,200","11,00",USDA
8002,28198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mother's, Kue Sandwich Creme Double Fudge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,00",457,"5,30","20,40",-,"70,00","3,3","33,10",-,"3,80",45,84,405,245,"0,40",-,-,-,-,"0,310","0,190","2,500",-,"0,020",72,-,-,"Mother's, Kue Sandwich Creme Double Fudge",-,-,-,-,-,-,-,-,-,-,-,-,"7,700","4,900","2,770",-,USDA
8003,28199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mother's, Cookies Sandwich Teh Inggris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,40",469,"4,50","19,30",-,"71,00","1,3","32,00",-,"2,50",10,43,94,267,"0,50",-,-,-,-,"0,360","0,220","2,900",-,"0,020",83,-,-,"Mother's, Cookies Sandwich Teh Inggris",-,-,-,-,-,-,-,-,-,-,-,-,"6,500","6,400","1,400",-,USDA
8004,28200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mother's, Halloween Circus Animals Cookies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,20",514,"3,80","25,30",-,"68,10","0,8","43,90",-,"1,50",10,63,98,191,"0,40",-,-,-,-,"0,230","0,200","1,800",-,"0,020",51,-,-,"Mother's, Halloween Circus Animals Cookies",-,-,-,-,-,-,-,-,-,-,-,-,"24,700","0,200","0,300","1,00",USDA
8005,28201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mother's, Kue Hewan Sirkus Liburan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
